country;HDI
Norway;0,957
Iceland;0,949
Switzerland;0,955
Finland;0,938
Ireland;0,955
Denmark;0,94
Sweden;0,945
Netherlands;0,944
Slovenia;0,917
Germany;0,947
Australia;0,944
Czech Republic;0,9
Belgium;0,931
New Zealand;0,931
Austria;0,922
United Kingdom;0,932
Canada;0,929
Japan;0,919
Estonia;0,882
Luxembourg;0,916
Hong Kong;0,949
Malta;0,895
France;0,901
South Korea;0,916
Israel;0,919
Poland;0,88
Singapore;0,938
United States;0,926
Slovakia;0,86
Cyprus;0,887
Greece;0,888
Hungary;0,854
Lithuania;0,882
Italy;0,892
Croatia;0,851
Latvia;0,866
Spain;0,904
Belarus;0,823
Kazakhstan;0,825
Portugal;0,85
Montenegro;0,829
Russia;0,824
Romania;0,828
Argentina;0,845
Ukraine;0,779
Bulgaria;0,816
Georgia;0,812
Uruguay;0,817
Chile;0,851
Albania;0,795
Oman;0,813
Serbia;0,806
Armenia;0,776
Mauritius;0,804
Iran;0,783
Azerbaijan;0,756
Turkey;0,82
North Macedonia;0,774
Barbados;0,814
Sri Lanka;0,782
Moldova;0,75
Seychelles;0,796
Bosnia and Herzegovina;0,78
Costa Rica;0,81
Thailand;0,777
Panama;0,815
China;0,761
Mongolia;0,737
Kyrgyzstan;0,697
Saint Lucia;0,759
Peru;0,777
Jordan;0,729
Ecuador;0,759
Mexico;0,779
Palestine;0,708
Jamaica;0,734
Algeria;0,748
Tunisia;0,74
Colombia;0,767
Dominican Republic;0,756
Indonesia;0,718
Venezuela;0,711
Vietnam;0,704
World;0,731
Philippines;0,718
Turkmenistan;0,715
Maldives;0,74
Tajikistan;0,668
Brazil;0,765
Paraguay;0,728
Guyana;0,682
Belize;0,716
Bolivia;0,718
Gabon;0,703
Iraq;0,674
Suriname;0,738
El Salvador;0,673
S?o Tom? and Pr?ncipe;0,625
Kiribati;0,63
Nicaragua;0,66
Egypt;0,707
Guatemala;0,663
Bangladesh;0,632
Bhutan;0,654
Cambodia;0,594
India;0,645
Honduras;0,634
South Africa;0,709
Laos;0,613
Nepal;0,602
Kenya;0,601
Zimbabwe;0,571
Ghana;0,611
Timor-Leste;0,606
Eswatini;0,611
Republic of the Congo;0,574
Namibia;0,646
Zambia;0,584
Uganda;0,544
Angola;0,581
Tanzania;0,528
Madagascar;0,528
Papua New Guinea;0,555
Rwanda;0,543
Pakistan;0,55
Lesotho;0,527
Cameroon;0,563
Mauritania;0,546
Togo;0,515
Ethiopia;0,485
Nigeria;0,539
Senegal;0,512
C?te d'Ivoire;0,538
Malawi;0,483
Benin;0,52
Democratic Republic of the Congo;0,48
Gambia;0,496
Sudan;0,51
Liberia;0,48
Yemen;0,47
Burkina Faso;0,452
Mozambique;0,456
Guinea;0,477
Burundi;0,433
Comoros;0,554
Haiti;0,51
Guinea-Bissau;0,48
Sierra Leone;0,452
Mali;0,434
Niger;0,394
South Sudan;0,433
Chad;0,398
Central African Republic;0,397
